리뷰,점수,감정판단
"가슴둘레 딱 40cm입니다. 혹시 몰라 사이즈 문의했을때 ,신축성이 없으니 크게 주문하라 하셨는데 ㅋㅋㅋ말 들을껄 그랬네욤ㅠ 말 안듣고 L사쥬 구매했어욤 ㅠ 작으면 다른아이 입히려고욤. 가슴둘레 36cm 아이한테 여유있게 맞네요 ㅠㅜ  신축성 전혀 없고요 살짝 커도 가슴부분 고무줄밴딩 되어있어 늘어짐 없어 괜찮아요~^^ 맘에 들어서 XL오 재주문하러 갑니당",4,1
좋어요 감사합니다호,4,1
"가슴둘레 딱 40cm입니다. 혹시 몰라 사이즈 문의했을때 ,신축성이 없으니 크게 주문하라 하셨는데 ㅋ말 들을껄 그랬네욤 ㅋㅋㅋ 말 안듣고 L사쥬 구매했어욤 ㅠ 작으면 다른아이 입히려고욤. 가슴둘레 36cm 아이한테 여유있게 맞네요 ㅠㅜ  신축성 전혀 없고요 살짝 커도 가슴부분 고무줄밴딩 되어있어 늘어짐 없어 괜찮아요~^^",5,1
좋어요 감사합니다ㅎㅎㅎ,5,1
강아지가 좋아해요ㅎㅎㅎ,5,1
강아지가 좋아해요ㅎㅎㅎ,5,1
강아지가 좋아해요ㅎㅎㅎ,5,1
강아지가 좋아해요ㅎㅎㅎ,5,1
강아지가 좋아해요ㅎㅎㅎ,5,1
예뻐요 ㅜㅜㅜ 여자 강아지라 사봤는데너무기여워요오옹,5,1
예뻐요 ㅜㅜㅜ 무난한거 하나 샀는데 이쁩니다,5,1
사이즈 잘 측정해서 구매하세요~~,5,1
흰색 말티즈한테 잘 어울리네용,5,1
너무 궈여워요^^ 또 구매할게요~,5,1
잘 입을게요 ㅎㅎㅎ헤,5,1
딱 정사이즈인것 같아요 잠옷으루입히기딱이에요,5,1
소재가 여름에딱이고 넉넉하게 잘맞아요,5,1
사이즈 컥넉하구 여름에입기딱에요,5,1
넉넉하게 한사이즈 크게 구매하니까 딱맞나요  귀엽급니다~~,5,1
사이즈가애매해요  ㅋ싼거사서그러나 ㅠ,5,1
좀만손질하니입히니괜찮네요,5,1
잘입을께요 번창하세요~,5,1
옷도예쁘게 잘나왔고~우선 아이들이 편해서 좋아하네요~^,5,1
귀엽고 예버요 ~~,5,1
좋아요 가격가성비갑 애견옷은 여기가 젤최고 인정합니다요,5,1
"가격 저렴, 빠른 배송, 예뻐요",5,1
"가격 저렴, 빠른 배송, 예뻐요",5,1
"가격 저렴, 빠른 배송, 예뻐요",5,1
"가격 저렴, 빠른 배송, 예뻐요",5,1
화면 그대로 입니다 ~~ ^^ 너무 귀엽네요,5,1
다 맘에 듭니다. ^^  많이 파세영 ~~~~~~,5,1
졸귀탱입니다 ㅎㅎㅎ 많이 파세영,5,1
다른거는 사이즈가 넉넉한데 아이러브 마미 상품은 좀 작게나왓어요,5,1
소재도 좋고 이뻐요ㆍ품이 크게나온듯해요,5,1
너무 이뻐요ㆍ마린룩은 품이 크네요,5,1
가격이 너무 싸서 시켜봤는데 생각보다 이뻐요 찍찍이로 편하게 입고 벗을 수 있어서 좋네요~,5,1
사이즈가 점 작게나왓어요 한사이즈크게살걸그랫네요,5,1
"배송이 느리지않앗고, 우리애기가 거부감없이 잘 입은거보니 새 옷 냄새가 심하지않아서 더 좋앗구요 미디움 시켰는데 좀 크네욤 종류는 장모치와와입니당",5,1
"배송이 느리지않앗고, 우리애기가 거부감없이 잘 입은거보니 새 옷 냄새가 심하지않아서 더 좋앗구요 미디움 시켰는데 좀 크네욤 종류는 장모치와와입니당",5,1
"배송이 느리지않앗고, 우리애기가 거부감없이 잘 입은거보니 새 옷 냄새가 심하지않아서 더 좋앗구요 미디움 시켰는데 좀 크네욤 종류는 장모치와와입니당",5,1
질도 좋고 이뻐요 ㅎㅎ,5,1
좋아요 이뻐요 ㅎㅎ,5,1
좋아요 이뻐요 ㅎㅎ,5,1
좋아요 이뻐요 ㅎㅎ,5,1
실내복으로 좋아요^^,5,1
애들 커플로입히려고 구매햇어요  사이즈는 약간작아요,5,1
옷이뻐요 여름에 열씸히 입히고 다녀야겠어요,5,1
사이즈만 안작으면 좋겟네요 옷은 예뻐요,5,1
옷 주문했는데 약간 작네요 엠사이즈는 너무크구 사이즈만 맞았음 제일좋을거같아요,5,1
저렴한가격에 디자인 맘에 들어옴~ 가슴둘레40cm -> XL여유있게 맞음/L아주아주 여유없이 꽈악 맞음 ㅠㅠ  가슴둘레36cm-> L 여유있에 맞음 2-3cm여유있게 주문하심 되욤. 신축성 없어욤,5,1
사이즈 미스였지만 넘 기여워요ㅜㅜ,5,1
면이 정말 좋아요ㅜㅜ,5,1
재질도 디자인도 이쁘네요ㅎㅎ,5,1
재질도 디자인도 이쁘네요ㅎㅎ,5,1
색이 엄청 진할 줄 알았는데 살짝 연해서 좋아요!,5,1
싸이즈 틀리게 왔어요 귀찮아. 그냥 대충수선해서 입혀네요,5,1
아이가 금방 클 것 같아서 일부러 M사이즈로 주문했는데 조만간 입힐 수 있을 것 같아요! 상세랑 똑같구 넘 이뻐요 😍,5,1
